codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02140;'0004502;339048;22/07/2025;'00033109503875;ALEX ANDERSON BARROZO;300.0;300.0
201157;02070;'0000866;339014;06/03/2025;'00096398337468;ALEX JOSÉ ALVES;22.5;22.5
201157;02070;'0004427;339014;16/07/2025;'00096398337468;ALEX JOSÉ ALVES;45.0;45.0
201157;02130;'0001639;339031;03/04/2025;'00009648376417;ALEXANDRE DOS SANTOS SILVA;250.0;500.0
201157;02130;'0001646;339031;03/04/2025;'00009354843450;ALEXANDRE TRAJANO;300.0;300.0
201157;02040;'0000934;339039;11/03/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;850.0;850.0
201157;02110;'0000977;339030;12/03/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;0.0;0.0
201157;02110;'0001070;339030;19/03/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;12114.0;12114.0
201157;02110;'0001898;339030;14/04/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;18651.0;18651.0
201157;02040;'0002530;339039;07/05/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;0.0;0.0
201157;02110;'0002766;339030;14/05/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;8895.0;8895.0
201157;02110;'0003556;339030;11/06/2025;'05329135000119;ALEXSANDRO SANTOS DA SILVA LTDA;12948.0;12948.0
201157;02110;'0001137;339039;24/03/2025;'26572822000130;ALINE AGUIAR ROCHA;14520.0;14520.0
201157;02110;'0002050;339039;25/04/2025;'26572822000130;ALINE AGUIAR ROCHA;14300.0;14300.0
201157;02110;'0001656;339039;03/04/2025;'26572822000130;ALINE AGUIAR ROCHA;16280.0;32560.0
201157;02110;'0003611;339039;16/06/2025;'26572822000130;ALINE AGUIAR ROCHA;15400.0;0.0
201157;02140;'0000628;339048;24/02/2025;'00001555493408;ALINE BRAGA RUFINO;1500.0;1250.0
201157;02140;'0001330;339048;26/03/2025;'00001555493408;ALINE BRAGA RUFINO;1500.0;1250.0
201157;02110;'0002650;339036;12/05/2025;'00005136688459;ALINE DE ARAUJO SOUTO;771.43;771.43
201157;02070;'0001760;339014;09/04/2025;'00007068285422;ALINE PAULINO DASILVA BARROS;90.0;90.0
201157;02020;'0001634;339031;03/04/2025;'00051109913400;ALIRIA ALVES DOS SANTOS;1000.0;1000.0
201157;02060;'0003631;339036;17/06/2025;'00051109913400;ALIRIA ALVES DOS SANTOS;2000.0;2000.0
201157;02050;'0002592;339014;12/05/2025;'00001603958444;ALISSON SANTIAGO DOS PRAZERES;225.0;225.0
201157;02040;'0000923;339039;10/03/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;320.0;320.0
201157;02040;'0000924;339039;10/03/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;320.0;320.0
201157;02110;'0000925;339039;11/03/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;300.0;300.0
201157;02090;'0000926;339039;11/03/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;400.0;400.0
201157;02120;'0001910;339039;15/04/2025;'59787870000103;ALLAN ALEXANDRE URSULINO DE OLIVEIRA;1050.0;2100.0
